L,r,sij_mean,sij_se,sij_snr,dij_c_mean,dij_c_se,dij_c_snr,ddij_mean,ddij_se,ddij_snr
72,36,0.0,0.0,NaN,0.0,0.0,NaN,-0.0001365408309603744,0.00010681709668229335,1.2782675732751707
76,2,0.0,0.0,NaN,0.009165821917810143,1.3021994886261598e-5,703.872332762181,0.05345976209688941,5.768756429818858e-5,926.7120695294822
76,3,-0.03666187500000066,5.241419396490394e-5,699.4646340369006,0.0,0.0,NaN,-0.016110686319218137,7.694805763975306e-5,209.37092908366023
76,4,0.0,0.0,NaN,0.0004155897887324996,3.2779071101986798e-6,126.78510243303081,0.009775155450192224,7.912013492718537e-5,123.54826567457634
76,5,-0.012510964285709966,3.3628862796311566e-5,372.03054892127295,0.0,0.0,NaN,-0.00475321980134287,7.576451496456981e-5,62.73675484579615
76,6,0.0,0.0,NaN,5.741847826086764e-5,1.2447827361572557e-6,46.12730928300235,0.0031788958818648183,7.797537560806352e-5,40.767945740245786
76,7,-0.006146691176470499,2.466403634974192e-5,249.2167579267623,0.0,0.0,NaN,-0.00187300709125153,7.644903255438199e-5,24.500075784728438
76,8,0.0,0.0,NaN,1.2593283582089676e-5,5.949573684546258e-7,21.166699077616514,0.0013004435781384244,7.800079199897061e-5,16.672184279303043
76,9,-0.0036207954545437837,1.9463618874272494e-5,186.0288920540796,0.0,0.0,NaN,-0.0008760485351200914,7.778247710244437e-5,11.262800668668355
76,10,0.0,0.0,NaN,3.6057692307692235e-6,3.2230978434265986e-7,11.187278220929812,0.0006816634404111371,7.913930794331747e-5,8.613462236735378
76,11,-0.0024624609375,1.6485468429850304e-5,149.3716085762666,0.0,0.0,NaN,-0.00047209256921813825,7.913254814489609e-5,5.965845663831153
76,12,0.0,0.0,NaN,1.3988095238095242e-6,2.039904048421838e-7,6.8572319609429995,0.0003443397224468375,8.035290035529303e-5,4.285342793157249
76,13,-0.0017754435483869357,1.4249052897879914e-5,124.60081109328327,0.0,0.0,NaN,-0.00019077452488398816,8.060591692778417e-5,2.3667558431833906
76,14,0.0,0.0,NaN,3.9959016393442626e-7,1.1081972132377861e-7,3.6057676301761834,0.0001222632197170337,8.159547002238358e-5,1.498406954252411
76,15,-0.0013510000000001416,1.2718081911047073e-5,106.22671008484757,0.0,0.0,NaN,-7.501444421692538e-5,8.208513192150772e-5,0.9138615296209361
76,16,0.0,0.0,NaN,2.860169491525423e-7,9.53351693771137e-8,3.0001200084006348,8.906076764091109e-5,8.302934662798599e-5,1.072642038723356
76,17,-0.0011162068965518905,1.1744460885357373e-5,95.04113534436837,0.0,0.0,NaN,-6.978384075820299e-5,8.327154949465451e-5,0.8380274077004254
76,18,0.0,0.0,NaN,1.6447368421052632e-7,7.355339655413783e-8,2.2361127006482704,8.74756873572996e-5,8.424453512704744e-5,1.03835444311467
76,19,-0.0009287946428571625,1.0923288730469726e-5,85.0288466939775,0.0,0.0,NaN,-5.503899778981636e-5,8.4753810022236e-5,0.6493985081659023
76,20,0.0,0.0,NaN,3.4090909090909086e-8,3.409090909090909e-8,0.9999999999999998,6.296851033296691e-5,8.578959514755488e-5,0.7339877315502357
76,21,-0.0008129166666665647,1.0453158815439008e-5,77.76756108076256,0.0,0.0,NaN,-3.461861088351059e-5,8.635363437343488e-5,0.4008935018739683
76,22,0.0,0.0,NaN,0.0,0.0,NaN,2.0267395407141953e-5,8.723966181382428e-5,0.23231859209168
76,23,-0.0007440865384616289,1.0164838679658997e-5,73.2020017150524,0.0,0.0,NaN,2.2096132671137192e-5,8.79502578521788e-5,0.25123442739957585
76,24,0.0,0.0,NaN,0.0,0.0,NaN,6.57011460708512e-6,8.906064677966667e-5,0.07377124290753675
76,25,-0.0006615000000000212,9.810460741035723e-6,67.42802580444193,0.0,0.0,NaN,-3.128944423634594e-5,8.95599319513557e-5,0.34936878082199463
76,26,0.0,0.0,NaN,0.0,0.0,NaN,-7.55653603945472e-6,9.082475797764495e-5,0.08319907707670016
76,27,-0.00061390625,9.622599534108614e-6,63.79837878776163,0.0,0.0,NaN,3.544649328186822e-5,9.16621397993102e-5,0.3867081148168327
76,28,0.0,0.0,NaN,0.0,0.0,NaN,3.396294935609223e-5,9.259094439411362e-5,0.3668063823987888
76,29,-0.0005810869565217192,9.572490069811134e-6,60.70384531965193,0.0,0.0,NaN,-0.00012777531377058948,9.349802053249915e-5,1.3666098281318781
76,30,0.0,0.0,NaN,0.0,0.0,NaN,0.0001649230557793785,9.463707389052798e-5,1.7426897197831186
76,31,-0.0005764772727272426,9.752701712458757e-6,59.10949496084883,0.0,0.0,NaN,-0.00021263944419210035,9.552887036392522e-5,2.2259181269707535
76,32,0.0,0.0,NaN,0.0,0.0,NaN,0.00022107421855198373,9.655913931353011e-5,2.289521428252895
76,33,-0.000541428571428603,9.682621650225748e-6,55.9175594159439,0.0,0.0,NaN,-0.00011433587278798785,9.770257837699912e-5,1.1702441704947317
76,34,0.0,0.0,NaN,0.0,0.0,NaN,-2.420194408279952e-5,9.874480644757207e-5,0.24509586836497968
76,35,-0.0005542499999999731,1.0042457512209417e-5,55.19067412793403,0.0,0.0,NaN,4.807930578309971e-5,0.00010011278288541687,0.48025141642629615
76,36,0.0,0.0,NaN,0.0,0.0,NaN,3.0576711614882512e-6,0.00010149101768651284,0.030127505184082765
76,37,-0.0005184868421052392,9.982266263976307e-6,51.9407946446328,0.0,0.0,NaN,3.663687154860373e-5,0.000102866882234859,0.35615808268551197
76,38,0.0,0.0,NaN,0.0,0.0,NaN,-5.5671538869331294e-5,0.00010389017144050777,0.5358691596847671
80,2,0.0,0.0,NaN,0.009171014610400628,1.2689629547313184e-5,722.7172847092637,0.05334299880760546,5.598899945601317e-5,952.7407048863857
80,3,-0.03668753289475707,5.109428323644798e-5,718.0359635339029,0.0,0.0,NaN,-0.016004941533361863,7.48260600865842e-5,213.89528614552083
80,4,0.0,0.0,NaN,0.0004123249999999959,3.162373467794156e-6,130.38466335464295,0.009633314716640515,7.704963425016808e-5,125.02739059555627
80,5,-0.01249935810811169,3.265095541857006e-5,382.8175300806893,0.0,0.0,NaN,-0.004594895080674427,7.374302933539783e-5,62.309551453004985
80,6,0.0,0.0,NaN,5.6609589041094634e-5,1.1985387235844176e-6,47.23217358534299,0.0030143328672889713,7.579624112253113e-5,39.76889648678018
80,7,-0.006131770833333371,2.39263022602584e-5,256.2774124741476,0.0,0.0,NaN,-0.0017399415333595875,7.442394051124777e-5,23.378788080921733
80,8,0.0,0.0,NaN,1.3389084507042177e-5,5.942984492519161e-7,22.529226727574216,0.001220214716692633,7.581976674042363e-5,16.093622667953557
80,9,-0.0036115714285710246,1.8860800347463578e-5,191.48558714565434,0.0,0.0,NaN,-0.0007899192119185799,7.550536135238876e-5,10.461763214826192
80,10,0.0,0.0,NaN,3.8043478260869668e-6,3.213025346034501e-7,11.840391582289485,0.0005839918905413966,7.649837442199873e-5,7.6340431408364315
80,11,-0.002455588235293393,1.5957753150093404e-5,153.88057530386226,0.0,0.0,NaN,-0.0004353551362719643,7.63869116436673e-5,5.69934203260928
80,12,0.0,0.0,NaN,1.0634328358208948e-6,1.7247966798873087e-7,6.165554747533346,0.00039927255242686033,7.726781912417817e-5,5.167384778716013
80,13,-0.0017536363636360926,1.374609264861705e-5,127.57344275666004,0.0,0.0,NaN,-0.00033023982880860114,7.773413653529078e-5,4.248324398106288
80,14,0.0,0.0,NaN,5.480769230769233e-7,1.2572615253049686e-7,4.359291301338269,0.0002780993320371933,7.870263518408024e-5,3.533545368420478
80,15,-0.0013569140625,1.2332211589742052e-5,110.03006659638267,0.0,0.0,NaN,-0.0001728516896095933,7.907480344486162e-5,2.1859262632264618
80,16,0.0,0.0,NaN,1.7857142857142855e-7,7.289965786195625e-8,2.4495509829356643,0.00013137543092454906,7.995723824389906e-5,1.6430711441508967
80,17,-0.001092096774193741,1.1257826862661444e-5,97.0077784564152,0.0,0.0,NaN,-4.7859880153003354e-5,8.049703790161702e-5,0.5945545500878853
80,18,0.0,0.0,NaN,1.2295081967213116e-7,6.14744876887804e-8,2.0000300009750336,8.371881500347789e-5,8.146748366397101e-5,1.027634722937963
80,19,-0.0009076250000001183,1.0449169127021747e-5,86.86097324743103,0.0,0.0,NaN,-4.2879033360102015e-5,8.202767385414594e-5,0.5227386239959159
80,20,0.0,0.0,NaN,1.2711864406779662e-7,6.355836862738313e-8,2.000030000975033,7.97062420588579e-5,8.28352075202534e-5,0.9622266237380952
80,21,-0.000782456896551816,9.877577314983227e-6,79.21546666761218,0.0,0.0,NaN,-3.7651662658858e-5,8.358559448521989e-5,0.4504563602226433
80,22,0.0,0.0,NaN,3.289473684210526e-8,3.289473684210526e-8,1.0,3.175242951958257e-6,8.445963634595312e-5,0.037594797815044094
80,23,-0.0007031249999999554,9.540402273840507e-6,73.6997224873738,0.0,0.0,NaN,0.00011912096664101757,8.503439077285601e-5,1.4008563542157157
80,24,0.0,0.0,NaN,0.0,0.0,NaN,-9.562619244317394e-5,8.566255188185606e-5,1.11631267505385
80,25,-0.0006502777777777114,9.346751730296995e-6,69.57259554352672,0.0,0.0,NaN,0.00010969388330750451,8.640988177041083e-5,1.269459939766597
80,26,0.0,0.0,NaN,0.0,0.0,NaN,-8.000933995734594e-5,8.707688464274861e-5,0.9188355817459619
80,27,-0.0006014423076923663,9.149451662827613e-6,65.73533910626641,0.0,0.0,NaN,6.76305819916484e-5,8.799520582569911e-5,0.7685712120000155
80,28,0.0,0.0,NaN,0.0,0.0,NaN,4.4258834288324334e-5,8.89705943903964e-5,0.49745463196660056
80,29,-0.0005625000000000175,9.02672434039753e-6,62.31496374411777,0.0,0.0,NaN,-3.134778337912647e-5,8.960757564903943e-5,0.349834075434698
80,30,0.0,0.0,NaN,0.0,0.0,NaN,1.9449410533459166e-5,9.042894419817529e-5,0.21507948263595478
80,31,-0.000535,8.993263765893426e-6,59.48897018109987,0.0,0.0,NaN,1.4355341640404085e-5,9.127548749163553e-5,0.15727488326720365
80,32,0.0,0.0,NaN,3.9893617021276594e-8,3.9893617021276594e-8,1.0,2.3685461278677433e-5,9.227713369328359e-5,0.2566774706874254
80,33,-0.0005113043478260711,8.986174128719739e-6,56.89900290179628,0.0,0.0,NaN,1.4263629694116764e-5,9.343436178085919e-5,0.15265935810179407
80,34,0.0,0.0,NaN,0.0,0.0,NaN,-2.9410283359579403e-5,9.476363229420872e-5,0.31035411631616777
80,35,-0.0004799999999999772,8.917117077169685e-6,53.82905661616931,0.0,0.0,NaN,5.929142121068043e-5,9.589896881587949e-5,0.6182696429668243
80,36,0.0,0.0,NaN,0.0,0.0,NaN,2.2482158479372738e-5,9.706890753700839e-5,0.23161029674513658
80,37,-0.0004933928571428806,9.25593641701021e-6,53.30555817519899,0.0,0.0,NaN,-2.3579926214836733e-5,9.787317094565626e-5,0.2409232886500572
80,38,0.0,0.0,NaN,0.0,0.0,NaN,-2.551699054138823e-5,9.906582667525826e-5,0.25757611275010045
80,39,-0.0004936874999999822,9.493683904248204e-6,52.0016786928274,0.0,0.0,NaN,0.000184089716640648,0.00010018564857991699,1.8374858999270904
80,40,0.0,0.0,NaN,0.0,0.0,NaN,-0.0001916602833648695,0.00010098437605543013,1.8979201620225643
84,2,0.0,0.0,NaN,0.009162893518516176,1.2329915629550404e-5,743.1432455673901,0.053359900450448666,5.4387447318769915e-5,981.1069112639411
84,3,-0.036649874999992324,4.958466757087368e-5,739.1372534182456,0.0,0.0,NaN,-0.01597754949168108,7.285879114116156e-5,219.29473768958218
84,4,0.0,0.0,NaN,0.00041306962025318194,3.093572942867535e-6,133.52509473084996,0.009559004998052054,7.493950480183718e-5,127.55628721231835
84,5,-0.01247951923076304,3.174000971870382e-5,393.1794394949124,0.0,0.0,NaN,-0.004543022448406625,7.171148648815924e-5,63.351391400271055
84,6,0.0,0.0,NaN,5.9366883116881456e-5,1.1995224350520242e-6,49.492099007140844,0.002995124716920816,7.362694295980128e-5,40.67973755960627
84,7,-0.006171414473687148,2.3248624269115824e-5,265.4528888354672,0.0,0.0,NaN,-0.001779268652849289,7.237646339276967e-5,24.5835257685033
84,8,0.0,0.0,NaN,1.3574999999999822e-5,5.820529027552558e-7,23.322622283541637,0.0013044708208230088,7.38013643577591e-5,17.675429609938686
84,9,-0.0036420608108117237,1.841141176743737e-5,197.8154014920851,0.0,0.0,NaN,-0.0008706751251414541,7.345630807542224e-5,11.852966041357222
84,10,0.0,0.0,NaN,3.852739726027391e-6,3.1434043335505877e-7,12.25658336379394,0.0006855276700949986,7.464257755366491e-5,9.184137158207495
84,11,-0.002413437499999389,1.527283317463983e-5,158.02159772208103,0.0,0.0,NaN,-0.000476369804181781,7.454356916132455e-5,6.390488268019986
84,12,0.0,0.0,NaN,1.3468309859154917e-6,1.8854690573112806e-7,7.143214473305129,0.00042126553918085674,7.555668425954417e-5,5.5754900219518735
84,13,-0.0017195357142852578,1.3233530238641682e-5,129.93779311164022,0.0,0.0,NaN,-0.0003114523934578256,7.574316559989928e-5,4.1119537451474
84,14,0.0,0.0,NaN,5.43478260869565e-7,1.215138879796861e-7,4.472560872716213,0.0002598632121091349,7.656289368137322e-5,3.3941142975942182
84,15,-0.0013153676470589381,1.1779194529864092e-5,111.66872605117888,0.0,0.0,NaN,-0.00018274388503315697,7.684204056228422e-5,2.378175848740432
84,16,0.0,0.0,NaN,1.6791044776119403e-7,6.854743948213797e-8,2.4495509829356643,0.000204487238694262,7.756720034808473e-5,2.6362591117975183
84,17,-0.0010855681818182407,1.0892799029593426e-5,99.65925001177219,0.0,0.0,NaN,-0.00016828031553837997,7.806722402545034e-5,2.155582161900872
84,18,0.0,0.0,NaN,8.653846153846154e-8,4.996250442695163e-8,1.7320681285099768,0.00016670351313925746,7.87313900165136e-5,2.117370379264129
84,19,-0.0008816015625,9.956881229140977e-6,88.5419382044853,0.0,0.0,NaN,-0.00010369402293178287,7.929847733056804e-5,1.3076420433587672
84,20,0.0,0.0,NaN,8.928571428571428e-8,5.1548615678600876e-8,1.732068128509977,0.00011562796367248218,8.018100032157324e-5,1.4420868186820526
84,21,-0.0007773387096775306,9.507423497282499e-6,81.76123740566695,0.0,0.0,NaN,-0.00010661425984630213,8.059225249335887e-5,1.3228847258622978
84,22,0.0,0.0,NaN,3.073770491803279e-8,3.073770491803278e-8,1.0000000000000002,6.215606672183016e-5,8.149667924857864e-5,0.7626822012249561
84,23,-0.0006786250000000675,9.033195563031184e-6,75.12568451162235,0.0,0.0,NaN,-5.7416679182228925e-5,8.195009899094043e-5,0.7006297721321402
84,24,0.0,0.0,NaN,0.0,0.0,NaN,1.3957261492808515e-5,8.299176317324367e-5,0.16817646666540878
84,25,-0.0006226293103448849,8.815138676392858e-6,70.63182250465331,0.0,0.0,NaN,-2.1313230894895452e-5,8.343078295314579e-5,0.25546003693702396
84,26,0.0,0.0,NaN,3.289473684210526e-8,3.289473684210526e-8,1.0,1.8494505027513708e-5,8.429774969313298e-5,0.21939500277099683
84,27,-0.000552455357142813,8.462848486602662e-6,65.2800718360245,0.0,0.0,NaN,-5.7564000608745225e-5,8.465239408981586e-5,0.6800044018562551
84,28,0.0,0.0,NaN,0.0,0.0,NaN,1.6032184461431398e-5,8.532435989232425e-5,0.18789692043003123
84,29,-0.0005358333333332924,8.481547295203247e-6,63.17636566577112,0.0,0.0,NaN,-3.4312512515094484e-5,8.617771518394063e-5,0.39815992384872
84,30,0.0,0.0,NaN,0.0,0.0,NaN,3.931563214533418e-5,8.69872103967541e-5,0.4519702605246579
