L,W,r,num_samples,ss_mean,ss_se,ss_snr,dd_c_mean,dd_c_se,dd_c_snr,dd_shift_mean,dd_shift_se,dd_shift_snr
26,2.0,11,49,-0.0206513059375302,0.0023863446852981,8.653949307809183,-0.0001409827976148,3.960403067964334e-05,3.559809322319374,-0.0064707830482138,0.0039587580524617,1.6345487555598366
26,2.0,12,49,0.0145258131190662,0.0019945203446241,7.282860341945144,0.0001034293285365,3.094725375233072e-05,3.342116536876872,0.0046511596578873,0.0039906908132244,1.1655023843175856
26,2.0,13,49,-0.0157660182144648,0.0023214165361879,6.791550748731446,-7.113063401953715e-05,2.469605199653185e-05,2.88024312669597,-0.0062615199673487,0.0036676023289233,1.7072516063067316
28,2.0,1,50,-0.4142149258930041,0.0017264338677176,239.9251622887815,-0.1258698337018974,0.0025239236871252,49.87069709911128,-0.1718255150329542,0.0014027546966992,122.491491518272
28,2.0,2,50,0.1289513351910174,0.0021871411125638,58.95885475805372,0.0330926614830353,0.0011054424741378,29.93612264522706,0.0588161577476972,0.0011276649537596,52.15747598752965
28,2.0,3,50,-0.1063823905041694,0.0025184458774476,42.24128517384853,-0.0081902909344573,0.0005086852040181,16.100902620642557,-0.0300831454266047,0.0020400980063097,14.745931486410043
28,2.0,4,50,0.0565699016495012,0.0022316079259093,25.349390900039133,0.0046435615724786,0.0003553024081897,13.069321978810358,0.0148859907884357,0.0020869299481357,7.132961411442466
28,2.0,5,50,-0.0538619006102607,0.0024517972538265,21.96833385231949,-0.0018444595787874,0.0001875488030059,9.834557988244212,-0.0140393977061114,0.0024562606437565,5.715760557332308
28,2.0,6,50,0.032392120203309,0.0018376247332382,17.62716816845861,0.0012045974814792,0.0001439004150449,8.37104938927862,0.0075612057934665,0.0028996709587835,2.6076082082908463
28,2.0,7,50,-0.0325766843859551,0.0019985162621503,16.300434979149713,-0.0005997341563733,9.717913063389296e-05,6.171429528761611,-0.0085039111383095,0.003012134675159,2.823217437268266
28,2.0,8,50,0.0210939754660535,0.0017144140143407,12.303898177223576,0.0004360655551436,7.818576248590414e-05,5.577301304982183,0.0047209949143754,0.003151279786795,1.498119885818448
28,2.0,9,50,-0.0224276424177964,0.0019657193136169,11.409381930795057,-0.0002546383264424,6.085968033483456e-05,4.184023396794953,-0.0082470685613,0.0031639972528991,2.6065346781648877
28,2.0,10,50,0.0161762906924776,0.0017683220402992,9.147819415144712,0.0002036853707552,5.173395204494726e-05,3.937170131103336,0.005220043758561,0.0034570630439415,1.509964872555353
28,2.0,11,50,-0.0178281522685836,0.0020829795543824,8.55896652037449,-0.000124692211224,3.4491504873475565e-05,3.615157172220997,-0.0069162196985926,0.0034622917042179,1.9975843428116764
28,2.0,12,50,0.0125465195897362,0.0016982875867274,7.387747333131436,9.09931425350592e-05,2.6554929606707316e-05,3.426600781200185,0.0050479805285193,0.0034567851193409,1.4603107668670228
28,2.0,13,50,-0.0143425636814311,0.0021155101089734,6.779718811360922,-6.239669111307229e-05,2.1320817304538896e-05,2.926561877146657,-0.0072100736738749,0.0033128514814499,2.1763950826794503
28,2.0,14,50,0.010270907858313,0.0016755737424585,6.129785635839911,6.455897804096332e-05,2.4072479509918875e-05,2.681858261188354,0.0079821710091473,0.003290651986746,2.425711087437247
30,2.0,1,50,-0.4136021690479735,0.0015725507488833,263.0135589211731,-0.12565123090552,0.0025443356986484,49.38469046056564,-0.1712567163338786,0.0013005258017215,131.68267488978725
30,2.0,2,50,0.1287877210657501,0.0021938767496734,58.70326174199087,0.0328095678064587,0.0010792703671831,30.399767105708264,0.0579247542966904,0.0012474368077535,46.43502094587271
30,2.0,3,50,-0.1055401190188097,0.0024691980003802,42.74267150814072,-0.0080582975774431,0.0004981405755819,16.17675405788729,-0.0288720774701677,0.0019436937157435,14.854232040937887
30,2.0,4,50,0.0562028966031947,0.0021430341460605,26.2258521202338,0.0045871157419416,0.000339048138189,13.52939369153527,0.0137819732877254,0.0020646738725905,6.675133284092446
30,2.0,5,50,-0.0536381598369508,0.0022116349856494,24.252718095431845,-0.0018269132253865,0.0001785545353784,10.231681998526218,-0.0119557422966165,0.0022311295615722,5.358605122058273
30,2.0,6,50,0.0330842127897865,0.0017541089623985,18.86097927722075,0.0011669512701927,0.0001347003327131,8.663313940565219,0.004648193356115,0.0027587010963482,1.6849209804816865
30,2.0,7,50,-0.0336020818621088,0.0020109732475218,16.70936294329974,-0.0005700371888542,8.976975325026463e-05,6.349991708956092,-0.0072127575086723,0.002859900407857,2.522031008092727
30,2.0,8,50,0.0210809551791834,0.0016296754777418,12.93567674491488,0.000412792889246,7.312850075460825e-05,5.64476072921652,0.0034267745383198,0.003072203747853,1.115412524548417
30,2.0,9,50,-0.0220949758450448,0.0018966366031108,11.649556804295214,-0.0002397699441602,5.687195998793497e-05,4.215960628245152,-0.0078680509898306,0.0030200830788276,2.605243228237585
30,2.0,10,50,0.0154380885708492,0.0016175213059972,9.544287616867472,0.0001839976289695,4.6854700513192906e-05,3.9269833539485264,0.0053558280458161,0.0031906296372914,1.6786116392884842
